Diploma,MinYearsExperience,Role,Contract,Industry,Canton,Perks,CompanySize,Languages,Holidays,MaternityLeaveWeeks,PaternityLeaveWeeks,WorkloadPercent,SalaryCHF
Bachelor,2 to 6,Mid-level,2 years,Education,ZH,None,Large (1000+),German,27,22.0,2.0,90,83100
Master,6 to 15,Lead,Permanent,Consulting,BE,Housing support,Small (50-200),,25,14.0,5.0,90,182500
Bachelor,4 to 10,Senior,Permanent,Hospitality,ZH,"Stock options, AG (train pass)",Large (1000+),German,25,14.0,2.0,80,124100
Master,7 to 20,Manager,Permanent,Public Sector,VD,,Startup (<50),French,28,,,100,200300
Bachelor,0 to 2,Junior,1 year,Hospitality,AG,"Car, AG (train pass)",Small (50-200),"English, German",25,14.0,2.0,80,35700
Bachelor,2 to 6,Mid-level,Permanent,Energy,BL,Housing support,Large (1000+),"English, German",23,18.0,2.0,90,108000
Master,2 to 6,Mid-level,Permanent,IT,ZG,,Startup (<50),"English, German",28,22.0,2.0,100,105200
Bachelor,0 to 2,Junior,2 years,Manufacturing,BE,,Large (1000+),German,24,14.0,2.0,50,33200
Master,2 to 6,Mid-level,Permanent,Consulting,GE,"Stock options, AG (train pass)",Large (1000+),"French, English",25,,,80,149800
PhD,4 to 10,Senior,Permanent,Retail,LU,"Car, Housing support",Startup (<50),"English, German",24,22.0,5.0,80,78600
Bachelor,4 to 10,Senior,Permanent,Healthcare,BE,Meal vouchers,Large (1000+),"English, German",24,18.0,2.0,70,119400
Bachelor,4 to 10,Senior,Permanent,Manufacturing,AG,AG (train pass),Large (1000+),"French, German",35,14.0,2.0,90,133600
Apprenticeship,0 to 2,Junior,2 years,Energy,AG,None,Medium (200-1000),"English, German",24,14.0,3.0,50,28000
Master,0 to 2,Junior,Permanent,Consulting,UR,None,Small (50-200),German,32,,,100,57800
Apprenticeship,0 to 2,Junior,Permanent,Public Sector,ZH,"Housing support, Stock options",Small (50-200),German,28,14.0,5.0,60,32500
Master,2 to 6,Mid-level,2 years,Pharma,ZH,None,Large (1000+),"English, German",20,16.0,2.0,80,145700
Master,0 to 0,Intern,1 year,Consulting,VD,Car,Medium (200-1000),"French, German",30,14.0,2.0,60,26500
Master,10 to 30,Director,Permanent,Finance,TI,Car,Medium (200-1000),Italian,20,,,100,473200
Master,4 to 10,Senior,Permanent,Public Sector,BE,"AG (train pass), Meal vouchers",Small (50-200),"English, German",25,14.0,2.0,80,113300
Master,2 to 6,Mid-level,Permanent,Pharma,ZH,"Housing support, Meal vouchers",Large (1000+),German,25,,,90,188500
Bachelor,2 to 6,Mid-level,2 years,Hospitality,FR,None,Startup (<50),"French, German",25,16.0,2.0,80,30800
Master,2 to 6,Mid-level,Permanent,Public Sector,GE,None,Large (1000+),"French, English, German",25,14.0,4.0,80,121400
Apprenticeship,0 to 2,Junior,Permanent,Energy,SG,"Housing support, AG (train pass)",Startup (<50),"English, German",24,22.0,2.0,100,42900
Bachelor,4 to 10,Senior,Permanent,Consulting,ZG,"Meal vouchers, Housing support",Large (1000+),"French, German",25,16.0,2.0,90,198800
Master,6 to 15,Lead,Permanent,IT,ZH,None,Medium (200-1000),"English, German",25,16.0,2.0,90,271200
Bachelor,2 to 6,Mid-level,2 years,IT,TI,Housing support,Small (50-200),"Italian, English, German",25,22.0,4.0,70,54400
Master,7 to 20,Manager,Permanent,Education,VD,"Housing support, Stock options",Large (1000+),"French, English",25,,,100,348200
PhD,2 to 6,Mid-level,Permanent,IT,SG,"Stock options, Car",Large (1000+),German,23,16.0,2.0,60,98000
Master,0 to 2,Junior,Permanent,Pharma,BS,None,Small (50-200),"English, German",23,16.0,2.0,90,77800
Master,4 to 10,Senior,Permanent,Healthcare,LU,AG (train pass),Startup (<50),"English, German",20,14.0,3.0,80,85200
PhD,7 to 20,Manager,Permanent,Manufacturing,LU,None,Small (50-200),German,25,16.0,2.0,100,255400
Master,2 to 6,Mid-level,Permanent,Healthcare,LU,AG (train pass),Medium (200-1000),"French, German",25,14.0,2.0,90,97200
Master,2 to 6,Mid-level,2 years,Public Sector,ZH,None,Medium (200-1000),"French, English, German",25,14.0,2.0,90,114500
Bachelor,2 to 6,Mid-level,2 years,IT,VD,AG (train pass),Large (1000+),French,25,18.0,2.0,70,83100
Bachelor,0 to 0,Intern,6 months,Retail,ZH,None,Large (1000+),"French, English, German",25,14.0,4.0,90,37200
Bachelor,4 to 10,Senior,Permanent,Education,AR,Car,Medium (200-1000),"French, German",25,14.0,2.0,80,87500
Bachelor,0 to 0,Intern,6 months,Construction,VS,None,Large (1000+),"French, English, German",23,14.0,2.0,70,25000
Master,4 to 10,Senior,Permanent,Education,AG,None,Small (50-200),German,20,14.0,4.0,80,96900
Master,2 to 6,Mid-level,2 years,Public Sector,BE,Meal vouchers,Medium (200-1000),"French, English, German",24,14.0,3.0,100,99200
PhD,2 to 6,Mid-level,Permanent,Finance,ZH,"Stock options, AG (train pass)",Medium (200-1000),German,25,14.0,4.0,100,186700
Bachelor,0 to 0,Intern,6 months,IT,NE,Meal vouchers,Large (1000+),French,24,14.0,2.0,80,31900
Bachelor,0 to 0,Intern,1 year,Hospitality,FR,Car,Large (1000+),"French, German",23,14.0,2.0,70,27200
Master,0 to 2,Junior,1 year,Education,BE,"Meal vouchers, Stock options",Small (50-200),"English, German",28,14.0,5.0,100,48300
Master,0 to 2,Junior,2 years,Manufacturing,TI,Car,Large (1000+),"Italian, English",22,14.0,2.0,70,48100
Master,4 to 10,Senior,Permanent,Hospitality,BE,"Housing support, Stock options",Large (1000+),"English, German",24,14.0,4.0,80,128300
Master,6 to 15,Lead,Permanent,IT,VD,Stock options,Small (50-200),,25,,,90,205000
Bachelor,4 to 10,Senior,Permanent,Education,GE,,Small (50-200),"French, English, German",24,14.0,3.0,90,111700
Master,2 to 6,Mid-level,Permanent,Pharma,BE,Car,Startup (<50),"French, English, German",25,24.0,2.0,100,104100
Bachelor,2 to 6,Mid-level,2 years,IT,VD,None,Large (1000+),"French, German",23,,,70,86100
PhD,4 to 10,Senior,Permanent,Finance,ZH,Meal vouchers,Large (1000+),"French, English, German",26,14.0,2.0,80,277600
Bachelor,4 to 10,Senior,Permanent,Manufacturing,SO,,Large (1000+),"English, German",25,,,100,150000
Master,2 to 6,Mid-level,Permanent,Consulting,GE,"Stock options, Meal vouchers",Medium (200-1000),French,28,14.0,2.0,90,128400
Bachelor,4 to 10,Senior,Permanent,IT,SG,"AG (train pass), Car",Small (50-200),"English, German",28,,,90,119100
PhD,2 to 6,Mid-level,Permanent,Public Sector,SG,Housing support,Medium (200-1000),German,25,16.0,2.0,100,127800
Master,0 to 2,Junior,2 years,Finance,ZH,None,Small (50-200),"English, German",23,14.0,2.0,90,78400
Master,0 to 0,Intern,6 months,Education,BE,"Meal vouchers, Car",Medium (200-1000),German,27,,,80,25000
Master,4 to 10,Senior,Permanent,Pharma,VD,Car,Startup (<50),French,27,,,60,92600
Apprenticeship,0 to 2,Junior,1 year,Consulting,ZH,"Meal vouchers, AG (train pass)",Medium (200-1000),German,26,14.0,2.0,80,50600
Master,4 to 10,Senior,Permanent,Construction,BE,AG (train pass),Large (1000+),"English, German",32,16.0,2.0,90,146700
Apprenticeship,0 to 2,Junior,1 year,Finance,BL,"Stock options, Housing support",Large (1000+),"English, German",24,16.0,2.0,70,48000
Bachelor,2 to 6,Mid-level,Permanent,Pharma,BE,Car,Startup (<50),"French, German",20,,,80,69600
PhD,7 to 20,Manager,Permanent,Hospitality,VD,Stock options,Medium (200-1000),"French, English",25,,,100,310600
Bachelor,2 to 6,Mid-level,2 years,IT,ZH,"Housing support, Meal vouchers",Small (50-200),"French, German",28,18.0,2.0,90,90000
PhD,6 to 15,Lead,Permanent,Pharma,LU,None,Medium (200-1000),"English, German",30,14.0,2.0,90,281700
PhD,2 to 6,Mid-level,Permanent,Public Sector,BE,"Car, Stock options",Startup (<50),German,30,14.0,2.0,80,66700
Master,2 to 6,Mid-level,Permanent,IT,ZH,Meal vouchers,Startup (<50),German,25,18.0,2.0,60,62100
Bachelor,0 to 0,Intern,1 year,Finance,ZH,Housing support,Large (1000+),"French, English, German",25,14.0,5.0,70,51000
Master,6 to 15,Lead,Permanent,IT,ZH,Car,Startup (<50),,25,,,90,181100
Master,0 to 2,Junior,Permanent,IT,GE,Car,Small (50-200),"French, English",25,14.0,2.0,90,89600
PhD,4 to 10,Senior,Permanent,Hospitality,ZH,"Meal vouchers, Stock options",Medium (200-1000),German,25,,,90,164600
Bachelor,4 to 10,Senior,Permanent,Manufacturing,SG,,Large (1000+),German,24,20.0,2.0,80,114200
Master,7 to 20,Manager,Permanent,Hospitality,GR,"Stock options, Housing support",Small (50-200),"Italian, English, German",27,22.0,2.0,90,178300
Bachelor,0 to 0,Intern,1 year,Manufacturing,TG,"Car, Housing support",Medium (200-1000),,25,,,80,27100
Master,2 to 6,Mid-level,2 years,Construction,FR,"Car, Meal vouchers",Startup (<50),"French, German",20,14.0,2.0,70,35900
Master,2 to 6,Mid-level,2 years,Manufacturing,TI,Meal vouchers,Large (1000+),"Italian, English",22,16.0,2.0,90,81000
Bachelor,2 to 6,Mid-level,2 years,Healthcare,TG,,Small (50-200),"French, English, German",24,,,90,63000
Master,7 to 20,Manager,Permanent,Healthcare,TG,Meal vouchers,Startup (<50),"English, German",23,14.0,2.0,90,177300
Bachelor,0 to 2,Junior,1 year,Public Sector,GE,None,Large (1000+),French,25,18.0,8.0,100,73000
Bachelor,0 to 0,Intern,6 months,Consulting,ZH,Meal vouchers,Medium (200-1000),"English, German",27,,,70,29300
Master,0 to 2,Junior,Permanent,Energy,LU,"Car, Housing support",Small (50-200),"English, German",32,14.0,2.0,100,70600
Master,2 to 6,Mid-level,2 years,IT,AI,None,Medium (200-1000),German,23,,,90,92500
Master,0 to 2,Junior,Permanent,Retail,SG,,Startup (<50),"English, German",26,,,100,45600
Master,6 to 15,Lead,Permanent,Finance,SH,"Meal vouchers, Housing support",Small (50-200),German,23,14.0,2.0,80,177100
Bachelor,4 to 10,Senior,Permanent,Hospitality,SO,Stock options,Small (50-200),German,28,,,90,66400
Bachelor,0 to 2,Junior,Permanent,Consulting,ZH,Meal vouchers,Large (1000+),"English, German",25,16.0,4.0,100,110800
Master,0 to 2,Junior,Permanent,Education,VD,,Startup (<50),French,28,,,100,47900
Bachelor,0 to 2,Junior,1 year,Education,ZH,Meal vouchers,Medium (200-1000),German,25,16.0,2.0,50,31300
PhD,2 to 6,Mid-level,2 years,Hospitality,SG,Meal vouchers,Large (1000+),"English, German",25,16.0,3.0,80,78100
Bachelor,2 to 6,Mid-level,Permanent,Education,VD,None,Large (1000+),French,27,14.0,2.0,100,100100
Master,0 to 2,Junior,1 year,Finance,SZ,None,Large (1000+),German,25,14.0,5.0,80,79400
Bachelor,0 to 2,Junior,1 year,Pharma,GR,None,Medium (200-1000),"French, Italian, German",25,,,90,75500
Master,2 to 6,Mid-level,2 years,Pharma,FR,Car,Medium (200-1000),"French, English, German",24,18.0,5.0,90,109300
Master,0 to 2,Junior,1 year,Retail,ZH,None,Medium (200-1000),"French, English, German",30,,,100,66700
Bachelor,0 to 2,Junior,Permanent,Consulting,ZH,"Car, Stock options",Small (50-200),,30,14.0,3.0,80,64900
Apprenticeship,0 to 2,Junior,Permanent,Manufacturing,TI,"Stock options, AG (train pass)",Large (1000+),"Italian, English",23,,,80,44600
Master,7 to 20,Manager,Permanent,Pharma,ZH,None,Medium (200-1000),German,25,14.0,2.0,80,359900
Bachelor,4 to 10,Senior,Permanent,Healthcare,VD,"Meal vouchers, Car",Startup (<50),"French, English",25,16.0,2.0,90,91900
Apprenticeship,0 to 2,Junior,1 year,Manufacturing,SG,Housing support,Medium (200-1000),"English, German",27,,,80,39400
Master,0 to 2,Junior,1 year,Consulting,GE,None,Startup (<50),French,28,16.0,3.0,80,46300
PhD,4 to 10,Senior,Permanent,Healthcare,ZH,Car,Large (1000+),German,20,14.0,2.0,100,247200
PhD,7 to 20,Manager,Permanent,Pharma,ZH,"AG (train pass), Meal vouchers",Small (50-200),"English, German",25,18.0,2.0,100,456500
Master,7 to 20,Manager,Permanent,IT,SH,Housing support,Large (1000+),"English, German",25,,,90,351500
Master,6 to 15,Lead,Permanent,Education,ZH,None,Small (50-200),German,25,16.0,2.0,90,169700
PhD,6 to 15,Lead,Permanent,Manufacturing,VD,"Car, Stock options",Medium (200-1000),"French, German",32,,,90,227200
Bachelor,2 to 6,Mid-level,Permanent,Pharma,AG,"Housing support, Car",Startup (<50),German,22,14.0,2.0,100,88200
Master,2 to 6,Mid-level,2 years,Consulting,ZH,"Meal vouchers, Car",Small (50-200),German,24,14.0,3.0,70,81300
PhD,4 to 10,Senior,Permanent,Construction,LU,"AG (train pass), Car",Startup (<50),"French, English, German",28,14.0,2.0,100,116000
Apprenticeship,0 to 2,Junior,2 years,Consulting,GE,"Stock options, Housing support",Medium (200-1000),French,30,14.0,4.0,100,59600
Bachelor,0 to 0,Intern,6 months,Manufacturing,SO,"AG (train pass), Stock options",Medium (200-1000),"English, German",28,14.0,4.0,90,25000
Bachelor,4 to 10,Senior,Permanent,Consulting,ZH,"Meal vouchers, AG (train pass)",Large (1000+),"English, German",25,,,100,220400
Bachelor,2 to 6,Mid-level,2 years,Education,BE,None,Medium (200-1000),"English, German",24,14.0,2.0,100,76100
Bachelor,2 to 6,Mid-level,Permanent,Healthcare,BE,Stock options,Small (50-200),German,25,14.0,6.0,90,68000
Master,2 to 6,Mid-level,Permanent,Healthcare,ZH,AG (train pass),Medium (200-1000),"French, German",26,14.0,2.0,80,111500
PhD,2 to 6,Mid-level,2 years,Construction,LU,"Housing support, Stock options",Small (50-200),"English, German",20,14.0,3.0,100,82200
Master,0 to 0,Intern,1 year,Consulting,GE,"Stock options, Meal vouchers",Startup (<50),"French, English",22,18.0,4.0,60,25000
PhD,4 to 10,Senior,Permanent,Manufacturing,BE,AG (train pass),Large (1000+),German,20,16.0,2.0,90,180700
Master,0 to 0,Intern,6 months,Consulting,SZ,,Medium (200-1000),"English, German",23,,,100,46500
PhD,7 to 20,Manager,Permanent,Hospitality,NW,Meal vouchers,Small (50-200),German,25,,,100,214500
Bachelor,2 to 6,Mid-level,2 years,Construction,NW,,Small (50-200),German,25,,,80,51200
Bachelor,0 to 2,Junior,2 years,Energy,ZH,,Startup (<50),"French, German",20,,,80,41200
Master,0 to 2,Junior,Permanent,Manufacturing,GL,Stock options,Medium (200-1000),"English, German",28,22.0,2.0,70,48600
Master,2 to 6,Mid-level,Permanent,Finance,BL,"Car, Stock options",Medium (200-1000),German,25,14.0,4.0,90,136400
Master,2 to 6,Mid-level,2 years,Construction,ZH,None,Medium (200-1000),"English, German",23,,,80,82500
Master,4 to 10,Senior,Permanent,IT,VD,None,Large (1000+),"French, English",20,16.0,2.0,90,214000
PhD,2 to 6,Mid-level,Permanent,IT,SH,None,Medium (200-1000),,20,14.0,2.0,90,132400
Master,0 to 2,Junior,Permanent,Education,BE,None,Large (1000+),,27,16.0,2.0,80,68200
Master,6 to 15,Lead,Permanent,Energy,AG,"AG (train pass), Stock options",Medium (200-1000),German,24,,,90,210900
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,BL,"Stock options, Meal vouchers",Large (1000+),German,30,16.0,2.0,100,104100
Bachelor,4 to 10,Senior,Permanent,Pharma,TG,"Housing support, Meal vouchers",Large (1000+),German,28,22.0,2.0,80,149500
Bachelor,0 to 2,Junior,2 years,Manufacturing,SH,None,Small (50-200),"French, English, German",26,14.0,2.0,80,35300
Bachelor,2 to 6,Mid-level,Permanent,IT,GE,None,Medium (200-1000),French,22,,,80,96200
Master,4 to 10,Senior,Permanent,IT,BE,"Stock options, Meal vouchers",Small (50-200),"English, German",25,16.0,2.0,80,132200
Bachelor,0 to 0,Intern,1 year,Education,VD,AG (train pass),Large (1000+),"French, German",25,,,90,36700
Bachelor,2 to 6,Mid-level,Permanent,Consulting,ZH,"Car, Stock options",Medium (200-1000),"English, German",28,14.0,2.0,100,135600
Master,4 to 10,Senior,Permanent,Construction,NW,None,Medium (200-1000),"French, German",20,16.0,2.0,90,131700
Master,0 to 2,Junior,1 year,Consulting,BS,"AG (train pass), Housing support",Startup (<50),German,25,20.0,2.0,100,53900
Bachelor,0 to 2,Junior,Permanent,Retail,SO,Housing support,Medium (200-1000),German,28,18.0,2.0,70,31500
Master,0 to 2,Junior,1 year,IT,VD,"Stock options, Meal vouchers",Small (50-200),French,25,,,50,34200
PhD,2 to 6,Mid-level,2 years,Energy,AG,"Meal vouchers, Car",Medium (200-1000),"English, German",25,,,100,116200
Master,4 to 10,Senior,Permanent,Hospitality,ZH,"Stock options, Meal vouchers",Small (50-200),"English, German",23,16.0,2.0,90,113100
Master,0 to 0,Intern,1 year,Healthcare,SO,Stock options,Medium (200-1000),German,25,16.0,2.0,50,25000
Master,4 to 10,Senior,Permanent,Manufacturing,LU,None,Medium (200-1000),German,25,14.0,2.0,90,123700
Master,2 to 6,Mid-level,Permanent,Hospitality,ZH,AG (train pass),Small (50-200),German,27,14.0,4.0,70,63100
Apprenticeship,0 to 2,Junior,Permanent,Hospitality,TG,None,Large (1000+),,28,,,80,36900
Bachelor,0 to 2,Junior,1 year,Public Sector,ZH,Stock options,Large (1000+),German,25,18.0,2.0,90,71900
Master,0 to 2,Junior,1 year,Consulting,ZH,Housing support,Medium (200-1000),German,25,16.0,2.0,50,42800
Apprenticeship,0 to 2,Junior,2 years,Public Sector,BE,"Car, AG (train pass)",Large (1000+),,27,14.0,2.0,80,41100
PhD,2 to 6,Mid-level,2 years,Consulting,GR,None,Small (50-200),,25,,,70,70200
PhD,2 to 6,Mid-level,Permanent,Energy,GR,"Car, AG (train pass)",Small (50-200),"Italian, German",24,14.0,2.0,90,99900
Bachelor,2 to 6,Mid-level,2 years,Public Sector,BE,Housing support,Large (1000+),"English, German",28,14.0,2.0,100,94600
Bachelor,2 to 6,Mid-level,2 years,Consulting,ZH,Car,Large (1000+),German,28,,,70,91800
PhD,2 to 6,Mid-level,2 years,IT,ZH,,Medium (200-1000),German,30,,,90,129200
Bachelor,0 to 2,Junior,2 years,Hospitality,BL,"AG (train pass), Stock options",Large (1000+),,22,14.0,4.0,80,49600
Bachelor,0 to 2,Junior,Permanent,Healthcare,BE,Housing support,Large (1000+),"English, German",30,18.0,2.0,60,45700
PhD,2 to 6,Mid-level,2 years,Finance,ZH,AG (train pass),Startup (<50),"English, German",28,,,90,97200
Master,2 to 6,Mid-level,2 years,IT,AG,"Car, Stock options",Medium (200-1000),German,30,,,80,89600
Bachelor,0 to 0,Intern,6 months,Manufacturing,BL,Stock options,Small (50-200),,25,14.0,5.0,70,25000
Master,7 to 20,Manager,Permanent,Pharma,BL,None,Large (1000+),German,20,,,100,449300
Apprenticeship,0 to 2,Junior,1 year,Pharma,VD,Meal vouchers,Startup (<50),"French, English",26,14.0,2.0,100,48900
PhD,4 to 10,Senior,Permanent,Manufacturing,SZ,None,Startup (<50),German,22,20.0,4.0,100,107600
Master,2 to 6,Mid-level,2 years,Manufacturing,BS,Stock options,Medium (200-1000),"English, German",25,14.0,2.0,90,97900
Master,0 to 2,Junior,Permanent,Manufacturing,AG,Housing support,Large (1000+),"English, German",24,16.0,2.0,50,43700
Master,7 to 20,Manager,Permanent,Hospitality,BE,None,Small (50-200),"French, German",26,,,90,183000
Master,0 to 0,Intern,6 months,Manufacturing,VD,"AG (train pass), Housing support",Medium (200-1000),"French, English, German",27,14.0,3.0,100,44000
Master,2 to 6,Mid-level,2 years,Education,BE,None,Startup (<50),German,26,14.0,2.0,100,54800
Bachelor,4 to 10,Senior,Permanent,Energy,BE,"AG (train pass), Car",Startup (<50),German,26,16.0,2.0,60,53600
Apprenticeship,0 to 2,Junior,1 year,Healthcare,BE,None,Startup (<50),,24,,,50,25000
Bachelor,0 to 0,Intern,1 year,Retail,AG,Stock options,Small (50-200),"English, German",30,,,90,26900
Bachelor,2 to 6,Mid-level,Permanent,Education,AG,Stock options,Small (50-200),"English, German",28,18.0,2.0,80,59300
PhD,6 to 15,Lead,Permanent,Finance,ZH,None,Startup (<50),"French, German",25,14.0,6.0,90,229600
Bachelor,4 to 10,Senior,Permanent,Finance,AG,None,Large (1000+),"French, English, German",25,24.0,2.0,80,170500
Bachelor,4 to 10,Senior,Permanent,Public Sector,ZH,None,Large (1000+),"English, German",20,14.0,2.0,100,190200
Master,0 to 0,Intern,6 months,Energy,AG,Stock options,Startup (<50),German,28,14.0,6.0,80,25000
Apprenticeship,0 to 2,Junior,2 years,Healthcare,SG,"Stock options, Housing support",Large (1000+),"English, German",28,16.0,3.0,80,42200
Master,0 to 2,Junior,2 years,Public Sector,BS,Housing support,Medium (200-1000),"French, German",23,14.0,3.0,80,63500
Bachelor,2 to 6,Mid-level,Permanent,Public Sector,BE,Meal vouchers,Startup (<50),"French, English, German",23,16.0,2.0,90,67200
Bachelor,4 to 10,Senior,Permanent,Public Sector,GE,"Meal vouchers, Stock options",Large (1000+),"French, English, German",28,22.0,2.0,90,167400
Apprenticeship,0 to 2,Junior,Permanent,IT,BS,"AG (train pass), Car",Small (50-200),"English, German",25,14.0,2.0,80,56600
Master,0 to 2,Junior,Permanent,Pharma,VD,Meal vouchers,Large (1000+),"French, English",25,18.0,2.0,50,68600
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,AG,Housing support,Startup (<50),"French, German",25,14.0,2.0,100,64600
Master,2 to 6,Mid-level,2 years,Manufacturing,VS,Car,Large (1000+),"French, German",25,14.0,2.0,90,83000
Master,6 to 15,Lead,Permanent,Healthcare,ZH,Stock options,Medium (200-1000),German,26,14.0,2.0,80,201300
Master,0 to 0,Intern,1 year,Public Sector,ZH,"Car, AG (train pass)",Small (50-200),German,25,,,80,32900
Bachelor,2 to 6,Mid-level,Permanent,Consulting,ZG,Stock options,Medium (200-1000),German,23,18.0,4.0,80,98800
Bachelor,4 to 10,Senior,Permanent,IT,ZH,"Stock options, Meal vouchers",Medium (200-1000),German,25,,,100,189100
Apprenticeship,0 to 2,Junior,2 years,Pharma,ZH,Housing support,Medium (200-1000),"English, German",28,,,50,38900
Bachelor,4 to 10,Senior,Permanent,Public Sector,BE,AG (train pass),Large (1000+),"French, English, German",24,18.0,3.0,80,137100
PhD,4 to 10,Senior,Permanent,Hospitality,FR,"Car, Housing support",Small (50-200),"French, German",25,14.0,2.0,60,70900
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,TI,"Meal vouchers, Stock options",Startup (<50),"Italian, English",25,14.0,4.0,80,48700
Master,2 to 6,Mid-level,2 years,Retail,SG,"Housing support, Meal vouchers",Startup (<50),German,27,,,100,49300
Master,6 to 15,Lead,Permanent,Retail,FR,Meal vouchers,Startup (<50),"French, English, German",23,,,90,106400
Apprenticeship,0 to 2,Junior,2 years,Consulting,BE,Meal vouchers,Small (50-200),German,20,14.0,2.0,80,37400
Apprenticeship,0 to 2,Junior,Permanent,IT,ZH,Meal vouchers,Medium (200-1000),German,25,14.0,2.0,70,56900
Bachelor,2 to 6,Mid-level,Permanent,Energy,ZG,,Small (50-200),"English, German",25,14.0,6.0,80,77000
Master,10 to 30,Director,Permanent,Education,JU,,Startup (<50),"French, English",22,16.0,5.0,100,213100
Bachelor,0 to 2,Junior,Permanent,Energy,SG,"Car, Stock options",Large (1000+),"French, English, German",23,14.0,2.0,90,67900
Master,2 to 6,Mid-level,2 years,Manufacturing,SO,Housing support,Startup (<50),"English, German",28,14.0,2.0,70,38700
Master,2 to 6,Mid-level,Permanent,IT,ZH,None,Large (1000+),German,25,14.0,3.0,100,178400
Master,2 to 6,Mid-level,2 years,Healthcare,BS,Meal vouchers,Medium (200-1000),,28,14.0,2.0,80,76300
PhD,2 to 6,Mid-level,Permanent,Manufacturing,AG,Meal vouchers,Large (1000+),German,24,,,100,139000
Bachelor,2 to 6,Mid-level,2 years,Construction,ZH,"Stock options, Car",Large (1000+),German,27,18.0,2.0,90,92800
Bachelor,2 to 6,Mid-level,Permanent,Healthcare,BE,None,Startup (<50),German,24,16.0,2.0,80,46100
Master,2 to 6,Mid-level,Permanent,Energy,FR,,Small (50-200),"French, English, German",28,16.0,8.0,100,85500
Master,0 to 2,Junior,Permanent,Healthcare,ZH,"Housing support, Car",Small (50-200),"French, English, German",23,18.0,2.0,70,58400
Master,2 to 6,Mid-level,2 years,Energy,AG,"AG (train pass), Housing support",Large (1000+),"English, German",25,14.0,2.0,80,99800
Bachelor,2 to 6,Mid-level,Permanent,Retail,LU,Stock options,Startup (<50),"English, German",25,18.0,4.0,80,45300
Bachelor,2 to 6,Mid-level,Permanent,Hospitality,ZH,AG (train pass),Startup (<50),"English, German",28,,,100,55200
Apprenticeship,0 to 2,Junior,Permanent,Manufacturing,TI,"AG (train pass), Stock options",Startup (<50),"French, Italian",23,14.0,2.0,100,30000
Master,7 to 20,Manager,Permanent,Energy,VD,None,Medium (200-1000),"French, English",23,16.0,3.0,100,339500
Master,0 to 0,Intern,1 year,Consulting,SG,"Stock options, Housing support",Large (1000+),German,27,20.0,2.0,60,31600
Master,0 to 0,Intern,1 year,IT,ZG,"AG (train pass), Meal vouchers",Small (50-200),"French, English, German",25,14.0,4.0,50,25300
PhD,6 to 15,Lead,Permanent,Manufacturing,TG,"Stock options, Meal vouchers",Large (1000+),"French, German",25,16.0,4.0,80,208800
Master,2 to 6,Mid-level,2 years,Energy,AG,"AG (train pass), Housing support",Large (1000+),German,30,,,90,104400
Bachelor,2 to 6,Mid-level,2 years,Energy,ZH,None,Small (50-200),"English, German",24,16.0,6.0,90,72000
Master,2 to 6,Mid-level,Permanent,Manufacturing,TG,None,Small (50-200),"French, German",20,,,90,77600
Master,2 to 6,Mid-level,2 years,Hospitality,VS,Meal vouchers,Medium (200-1000),"French, English, German",25,18.0,2.0,80,53500
Master,2 to 6,Mid-level,2 years,Retail,TI,Stock options,Medium (200-1000),"Italian, English",24,14.0,3.0,80,57400
Bachelor,0 to 2,Junior,1 year,Energy,VS,None,Large (1000+),"French, German",26,,,80,47000
Bachelor,2 to 6,Mid-level,Permanent,Retail,SG,Stock options,Startup (<50),"English, German",25,,,80,39600
Bachelor,2 to 6,Mid-level,Permanent,IT,ZH,"Housing support, Meal vouchers",Medium (200-1000),German,24,22.0,3.0,90,113600
Master,0 to 2,Junior,Permanent,Manufacturing,SZ,"Housing support, Car",Medium (200-1000),German,25,,,70,50600
Bachelor,0 to 2,Junior,1 year,Education,ZH,Car,Small (50-200),,20,,,80,43000
PhD,6 to 15,Lead,Permanent,Finance,LU,AG (train pass),Small (50-200),"English, German",23,16.0,2.0,80,218000
Master,2 to 6,Mid-level,Permanent,Healthcare,BE,"AG (train pass), Stock options",Small (50-200),German,23,14.0,3.0,100,90000
Master,0 to 2,Junior,2 years,Construction,BE,Meal vouchers,Small (50-200),"English, German",30,,,90,38100
Apprenticeship,0 to 2,Junior,Permanent,Public Sector,SG,,Small (50-200),"French, English, German",25,,,80,43800
Bachelor,2 to 6,Mid-level,Permanent,Public Sector,GE,Stock options,Large (1000+),,25,,,100,130300
Apprenticeship,0 to 2,Junior,2 years,Manufacturing,NE,"Stock options, Housing support",Medium (200-1000),,25,20.0,4.0,80,33900
Bachelor,2 to 6,Mid-level,2 years,Energy,SG,None,Startup (<50),"French, English, German",26,14.0,3.0,90,57200
Master,0 to 2,Junior,1 year,Consulting,SG,Stock options,Small (50-200),German,25,,,60,42300
Bachelor,2 to 6,Mid-level,2 years,Public Sector,LU,Stock options,Startup (<50),German,24,14.0,2.0,100,57700
PhD,2 to 6,Mid-level,Permanent,Retail,TI,Stock options,Small (50-200),Italian,23,,,100,76400
Bachelor,4 to 10,Senior,Permanent,Healthcare,VD,Stock options,Startup (<50),,25,14.0,4.0,80,84000
